Protein A;Gene A;Protein B;Gene B;Score;PMID
O60341;KDM1A;O15297;PPM1D;0.702;25999347 
Q15648;MED1;O15392;BIRC5;0.126;28514442 
Q7Z6E9;RBBP6;O15514;POLR2D;0.183;18624398 
Q7Z6E9;RBBP6;Q6P1M3;LLGL2;0.126;26496610 
Q7Z6E9;RBBP6;Q6P597;KLC3;0.126;26496610 
Q7Z6E9;RBBP6;O75427;LRCH4;0.309;18851979 
Q7Z6E9;RBBP6;O75925;PIAS1;0.332;18624398 
Q7Z6E9;RBBP6;O95639;CPSF4;0.21;25319826 
Q7Z6E9;RBBP6;P00738;HP;0.332;18624398 
Q7Z6E9;RBBP6;P02753;RBP4;0.183;18624398 
Q7Z6E9;RBBP6;P14921;ETS1;0.309;18851979 
Q7Z6E9;RBBP6;P33240;CSTF2;0.21;25319826 
Q7Z6E9;RBBP6;P47755;CAPZA2;0.416;18624398 26496610 
Q7Z6E9;RBBP6;P52735;VAV2;0.332;18654987 
Q7Z6E9;RBBP6;P58658;EVA1C;0.309;18851979 
Q7Z6E9;RBBP6;P60033;CD81;0.309;18851979 
Q7Z6E9;RBBP6;P61960;UFM1;0.081;26344197 
Q7Z6E9;RBBP6;P62263;RPS14;0.309;18851979 
Q7Z6E9;RBBP6;P62993;GRB2;0.454;21706016 20936779 
Q7Z6E9;RBBP6;P63279;UBE2I;0.332;18624398 
Q7Z6E9;RBBP6;Q10570;CPSF1;0.21;25319826 
Q7Z6E9;RBBP6;Q12800;TFCP2;0.126;20195357 
Q7Z6E9;RBBP6;Q12996;CSTF3;0.21;25319826 
Q7Z6E9;RBBP6;Q15788;NCOA1;0.454;20184719 16051665 
Q8NAP3;ZBTB38;Q7Z6E9;RBBP6;0.309;18851979 
Q96DE5;ANAPC16;Q7Z6E9;RBBP6;0.309;18851979 
Q9BTP7;FAAP24;Q7Z6E9;RBBP6;0.236;27107012 
Q9P2I0;CPSF2;Q7Z6E9;RBBP6;0.21;25319826 
Q15648;MED1;P23769;GATA2;0.454;16396960 
Q15648;MED1;O75448;MED24;0.617;9653119 20098423 28514442 15989967 20133760 22939629 
Q15648;MED1;P09874;PARP1;0.21;16204234 
Q15648;MED1;P04629;NTRK1;0.126;25921289 
Q15648;MED1;P10275;AR;0.454;12218053 
Q86VM9;ZC3H18;Q7Z6E9;RBBP6;0.126;28514442 
Q7Z6E9;RBBP6;P10451;SPP1;0.183;22779921 
Q1MSW8;TP53;O75807;PPP1R15A;0.126;29109149 
Q15648;MED1;O95817;BAG3;0.126;23824909 
Q8IYD1;GSPT2;Q7Z6E9;RBBP6;0.126;28514442 
Q8IZD2;KMT2E;Q7Z6E9;RBBP6;0.21;26678539 
Q96PU8;QKI;Q15648;MED1;0.126;20133760 
Q7Z6E9;RBBP6;P12004;PCNA;0.126;26496610 
Q96RN5;MED15;Q15648;MED1;0.671;14657022 20098423 28514442 15989967 20133760 
Q96PG8;BBC3;P00533;EGFR;0.21;20153921 
Q96T76;MMS19;Q7Z6E9;RBBP6;0.126;22678362 
Q15648;MED1;P01106;MYC;0.309;17967894 
Q99814;EPAS1;Q15648;MED1;0.126;23275444 
Q99933;BAG1;Q1MSW8;TP53;0.126;25036637 
Q96GQ7;DDX27;Q7Z6E9;RBBP6;0.081;26344197 
Q96PG8;BBC3;P02768;ALB;0.126;15174051 
Q15648;MED1;P15976;GATA1;0.454;17132730 
P0CG48;UBC;O15297;PPM1D;0.183;23314748 
Q7Z6E9;RBBP6;P03372;ESR1;0.21;20184719 
Q15648;MED1;P27348;YWHAQ;0.309;11266503 
Q7Z6E9;RBBP6;Q03933;HSF2;0.126;26496610 
Q96PG8;BBC3;Q92843;BCL2L2;0.126;28514442 
Q8TEL6;TRPC4AP;Q7Z6E9;RBBP6;0.126;28514442 
Q7Z6E9;RBBP6;P31939;ATIC;0.081;22939629 
Q7Z6E9;RBBP6;Q06323;PSME1;0.081;22939629 
Q9GZR7;DDX24;Q7Z6E9;RBBP6;0.081;26344197 
Q7Z6E9;RBBP6;Q01844;EWSR1;0.126;24999758 
Q9BWF3;RBM4;Q7Z6E9;RBBP6;0.126;28514442 
Q9H0R8;GABARAPL1;Q7Z6E9;RBBP6;0.126;20562859 
Q9H307;PNN;Q7Z6E9;RBBP6;0.126;28514442 
Q9H492;MAP1LC3A;Q7Z6E9;RBBP6;0.126;20562859 
Q9H609;ZNF576;Q7Z6E9;RBBP6;0.126;28514442 
Q9BYG3;NIFK;Q7Z6E9;RBBP6;0.126;26186194 
Q9H668;OBFC1;Q15648;MED1;0.126;20133760 
Q15648;MED1;P28069;POU1F1;0.454;16396960 
Q7Z6E9;RBBP6;Q5S007;LRRK2;0.21;23075850 
Q5T200;ZC3H13;Q15648;MED1;0.126;20133760 
Q7Z6E9;RBBP6;Q08AG7;MZT1;0.126;26496610 
Q15648;MED1;Q13315;ATM;0.21;17478428 
Q15648;MED1;O15514;POLR2D;0.126;28514442 
Q15648;MED1;O75486;SUPT3H;0.21;17967894 
Q15648;MED1;O94864;SUPT7L;0.21;17967894 
Q15648;MED1;P04150;NR3C1;0.583;11266503 10508170 28611094 
Q15648;MED1;P10827;THRA;0.941;16799563 11117530 9653119 10733574 10037764 21868449 
Q15648;MED1;P19388;POLR2E;0.126;20133760 
Q15648;MED1;P19793;RXRA;0.712;15863722 10935544 11027271 11438648 
Q15648;MED1;P24863;CCNC;0.472;20133760 26186194 20098423 28514442 
Q15648;MED1;P24928;POLR2A;0.126;15989967 
Q15648;MED1;P50750;CDK9;0.126;20133760 
Q15648;MED1;P61218;POLR2F;0.332;15989967 26496610 
Q15648;MED1;Q06546;GABPA;0.623;16574658 
Q15648;MED1;Q12756;KIF1A;0.183;15604093 
Q15648;MED1;Q13133;NR1H3;0.309;26120082 
Q15648;MED1;Q13503;MED21;0.332;15989967 24882805 28514442 
Q5BKZ1;ZNF326;Q15648;MED1;0.081;22939629 
Q86YW9;MED12L;Q15648;MED1;0.126;28514442 
Q8IXW5;RPAP2;Q15648;MED1;0.126;28514442 
Q8WTS6;SETD7;Q15648;MED1;0.081;22939629 
Q92830;KAT2A;Q15648;MED1;0.569;17967894 20508642 18418385 
Q96R06;SPAG5;Q15648;MED1;0.332;unassigned1312 27173435 
Q96RS0;TGS1;Q15648;MED1;0.569;11912212 
Q9UBK2;PPARGC1A;Q15648;MED1;0.623;14636573 
Q9UKM9;RALY;Q15648;MED1;0.081;22939629 
Q9Y2W1;THRAP3;Q15648;MED1;0.21;9653119 
Q9Y2X9;ZNF281;Q15648;MED1;0.081;22939629 
Q15650;TRIP4;Q15648;MED1;0.126;20133760 
Q15717;ELAVL1;Q15648;MED1;0.126;19322201 
Q15648;MED1;Q13526;PIN1;0.183;16055720 
Q7Z6E9;RBBP6;Q13616;CUL1;0.126;21145461 
Q15910;EZH2;Q15648;MED1;0.309;17502350 
Q96PG8;BBC3;Q16548;BCL2A1;0.183;16697956 
Q7Z6E9;RBBP6;Q16630;CPSF6;0.126;28514442 
Q1MSW8;TP53;A8K1F4;A8K1F4;0.126;25036637 
Q1MSW8;TP53;O95816;BAG2;0.126;25036637 
Q53FC7;Q53FC7;Q1MSW8;TP53;0.126;25036637 
Q96BE0;Q96BE0;Q1MSW8;TP53;0.126;25036637 
Q15648;MED1;Q14686;NCOA6;0.309;21292004 
Q7Z6E9;RBBP6;P53041;PPP5C;0.126;26496610 
Q7Z6E9;RBBP6;P47902;CDX1;0.126;28514442 
Q7Z6E9;RBBP6;P49759;CLK1;0.183;26167880 
Q7Z6E9;RBBP6;P42696;RBM34;0.081;26344197 
Q96PG8;BBC3;Q8TF42;UBASH3B;0.236;unassigned1304 
Q9Y2X0;MED16;Q15648;MED1;0.697;17967894 20098423 28514442 15989967 20133760 22939629 
Q9Y4A5;TRRAP;Q15648;MED1;0.376;18418385 
Q96PG8;BBC3;P10415;BCL2;0.554;15694340 11463392 16697956 
Q96PG8;BBC3;P12532;CKMT1B;0.236;unassigned1304 
Q969H0;FBXW7;Q15648;MED1;0.309;25720964 23322298 
Q96PG8;BBC3;O14964;HGS;0.236;unassigned1304 
Q15648;MED1;O60244;MED14;0.671;20098423 9989412 28514442 15989967 20133760 
